ID,요괴이름,국가,괴담내용,출처URL,output
1,도깨비,한국,"도깨비는 한국의 예술 작품, 민담에 등장하는 상상의 존재로 사람의 형상을 띠기도 하고, 비상한 재주를 부리기도 한다. 악귀를 쫓아내는 문화에 관한 상징으로 여겨진다. 일본의 오니와 혼동되기도 하나, 한국에서는 뿔난 요괴가 곧 도깨비인 것은 아니다.",https://ko.wikipedia.org/wiki/%EB%8F%84%EA%B9%A8%EB%B9%84,
2,구미호,한국,"구미호(九尾狐)는 동아시아 설화에 구전되는 9개의 꼬리를 가진 여우괴수, 신수(神獸)이다. 그 기원은 중국《산해경》의 문어체 중 '호'(여우)와 '구미'(아홉 꼬리)에 대한 전승이 한반도로 확산되면서, '구미호'라는 단어로 명사화되었다.",https://ko.wikipedia.org/wiki/%EA%B5%AC%EB%AF%B8%ED%98%B8,
3,강철이,한국,"특징: 가뭄이나 우박을 몰고 다니는 상상의 용이자 요괴입니다.능력: 네 발로 뛰어다니며 독을 품고, 강철이가 나타나는 지역에는 지독한 가뭄과 흉년이 든다고 전해집니다.설화: 하늘의 섭리에 의해 비를 내리지 못하게 하거나 가뭄을 일으키는 존재로 묘사되며, 한국 전통 농경 사회에서 날씨의 변덕과 재앙을 상징하는 두려운 존재였습니다",https://ko.wikipedia.org/wiki/%EA%B0%93%ED%8C%8C,
4,수금아,한국,"  인간의 얼굴을 한 파충류 인간이미지 특이점: 사람의 얼굴을 하고 있지만 몸통은 뱀이나 개구리의 형태를 띠고 있습니다. 키가 1m도 채 되지 않는 아주 왜소한 크기입니다.특징: 설화에 따르면 아주 작은 체구를 가진 인간 여성에게서 태어난다고 전해지며, 민간에서 전해지는 기괴한 혼종 요괴의 대표적인 형태입니다.",https://ko.wikipedia.org/wiki/%EA%B0%95%EC%8B%9C,
5,거구귀,한국,"하늘과 땅을 덮는 거대한 입이미지 특이점: 윗입술은 하늘에 닿고 아래입술은 땅에 닿을 정도로 거대한 입을 가진 요괴입니다. 온몸이 입으로만 이루어진 듯한 압도적이고 기괴한 비주얼을 자랑합니다.특징: 무시무시한 겉모습과 달리 사람을 먼저 공격하지 않습니다. 오히려 자신을 두려워하지 않는 비범한 인물을 만나면, 푸른 옷을 입은 어린 소년인 '청의동자'로 변신해 그 사람을 보좌하고 지켜주는 반전 매력을 가진 신비로운 존재입니다.",ㅇ,
6, 어둑시니,한국,"관심을 먹고 자라는 어둠의 괴물이미지 특이점: 기본적으로 형체가 뚜렷하지 않은 음침한 어둠의 덩어리나 어린아이의 모습을 하고 있습니다.특징: 사람이 이 요괴를 쳐다보거나 두려워할수록 몸집이 집채만 하게 커지며, 결국에는 사람을 깔아뭉개 버립니다. 반대로 무서워하지 않고 억지로 내려다보거나 아예 관심을 주지 않고 무시하면 몸집이 점점 줄어들다가 결국 스스로 사라져 버리는 독특한 심리적 생태를 가졌습니다.",ㅇ,
7,카파 (Kappa),일본,"강이나 연못에 사는 물의 요괴로 '강아이'라는 뜻. 물그릇(머리 위의 홈)에 물이 차 있어야 힘을 유지하며, 사람을 물에 빠뜨리거나 장난을 치고 오이 등을 좋아한다는 설화가 전해진다. 예의 바르면 헤아려지는 이야기들도 있다.",https://en.wikipedia.org/wiki/Kappa_(folklore),
8,강시 (Jiangshi),중국,"강시(중국어: 殭屍 또는 僵屍)란 중국의 흡혈귀 겸 좀비로서 어떤 힘에 의해서 되살아나 피해자의 기를 빼앗거나, 피해자를 물어 같은 강시로 만들어 해치는 존재이다. 본래는 객지에서 죽은 자들의 원혼이 깃든 시체를 강시라 하는데, 고향으로 이관하기 위하여 영환술사가 부적을 붙여 움직일 수 없도록 한 후 고향으로 돌려 보내었다 한다. 시체이므로 몸이 굳어 관절을 구부리지 못하며, 영환술사의 종소리에 맞추어 뛰면서 이동한다고 전해진다.",https://en.wikipedia.org/wiki/Jiangshi,
9,Ma Vú Dài,베트남,"베트남 민간설화에 전해지는 여성 유령으로, 가슴이 매우 길게 늘어진 모습으로 묘사된다. 밤에 떠돌며 사람들을 위협하거나 아이들을 납치한다는 이야기로 어린이들의 야간 외출을 통제하기 위한 경고담으로도 전해진다.",https://thesmartlocal.com/vietnam/vietnamese-ghosts-demons,
10,아스왕 (Aswang),필리핀,"필리핀 전역에 퍼진 복합적 악귀 용어로, 흡혈·육식·내장 흡수 등 다양한 형태의 변신 괴물(흡혈귀·요괴·마녀 등)을 포함한다. 야행성으로 마을을 습격하고 임산부나 아이들을 노린다는 공포담과 다양한 지역별 변형설화가 존재한다.",https://en.wikipedia.org/wiki/Aswang,
